sexo	idade	data_inscricao_curso	telefone	valor_pago_curso	ativo_sn	nome	cpf	idaluno
F	22	2018-01-20	1235195705	250.50	1	Mônica Torres	648.489.030-76	1
M	30	2016-08-10	33604875	400.10	1	Paulo Oliveira	309.939.810-11	2
F	20	2021-01-15	11982506541	350.00	0	Olivia Castro	962.003.340-05	3
M	43	2020-01-27	11980264891	650.20	1	Pedro Vergara	618.033.790-06	4
M	45	2019-01-27	1236548927	320.20	0	Caio Valencio	172.544.910-29	5
F	18	2021-01-22	1298542634	450.00	1	Ana Barros	011.131.600-63	6
F	35	2021-01-05	12989564879	700.00	1	Antonia Starv	172.590.900-98	7
F	35	2021-01-05	12989564879	700.00	1	Carla Starv	172.590.900-96	8
F	35	2021-01-05	12989564879	700.00	1	Paula Starv	172.590.900-89	9
F	35	2021-01-05	12989564547	350.20	1	Vanessa Figueira	156.356.906-86	10
F	35	2021-01-05	12989564547	350.20	1	Maria Antonia	356.896.146-36	11
F	35	2021-01-05	12989564547	350.20	1	Vanessa Figueira	156.356.906-86	12
